Entity,Parent,Region,Currency,GDP,Population,Area,Density,Ratio
MALDIVES,MALDIVES,Asia,MVR,18800,523787,120.0,4500.0,1.1282490716938018
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Americas,DOP,18600,11332973,18792.0,600.0,0.7185802880067271
TURKS AND CAICOS ISLANDS,UNITED KINGDOM,Americas,USD,18500,46062,366.0,130.0,1.5196088339436882
CHINA,CHINA,Asia,CNY,17600,1425671352,3700000.0,390.0,1.1497897120672922
WORLD,WORLD,World,,17500,8045311448,52020000.0,160.0,
THAILAND,THAILAND,Asia,THB,17100,71801279,198120.0,360.0,1.0007505578470486
FRENCH POLYNESIA,FRANCE,Oceania,XPF,17000,308872,1424.0,220.0,0.09759036144578313
COOK ISLANDS,NEW ZEALAND,Oceania,NZD,16700,17044,91.0,190.0,0.14604651162790697
NORTH MACEDONIA,NORTH MACEDONIA,Europe,MKD,16500,2085679,9928.0,210.0,0.8064999119253127
BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA,Europe,BAM,15700,3210848,19772.0,160.0,0.7817067421027817
GEORGIA,GEORGIA,Asia,GEL,15500,3728282,26900.0,140.0,0.7251367590350641
TURKMENISTAN,TURKMENISTAN,Asia,TMT,15000,6516100,188500.0,34.0,1.6315904616057755
BOTSWANA,BOTSWANA,Africa,BWP,14800,2675353,225000.0,13.0,0.8549099924544573
SURINAME,SURINAME,Americas,SRD,14800,623237,63250.0,10.0,1.2254797441364607
EQUATORIAL GUINEA,EQUATORIAL GUINEA,Africa,XAF,14600,1714672,10831.0,160.0,1.4052842273819055
COLOMBIA,COLOMBIA,Americas,COP,14600,52085168,440831.0,120.0,0.7170101637492942
ALBANIA,ALBANIA,Europe,ALL,14500,2832439,11100.0,260.0,0.7011494252873564
AZERBAIJAN,AZERBAIJAN,Asia,AZN,14400,10412652,33400.0,310.0,1.560139560506825
ARMENIA,ARMENIA,Asia,AMD,14200,2777971,11484.0,240.0,0.818954248366013
BRAZIL,BRAZIL,Americas,BRL,14100,216422446,3285863.0,65.0,1.0646171506827244
MOLDOVA,MOLDOVA,Europe,MDL,14000,3435931,13068.0,260.0,0.5302590018951359
PALAU,PALAU,Oceania,USD,13800,18058,177.0,100.0,0.06691429205011643
BARBADOS,BARBADOS,Americas,BBD,13800,281996,166.0,1690.0,0.16839622641509433
GABON,GABON,Africa,XAF,13800,2436567,103347.0,23.0,2.151394422310757
SAINT VINCENT AND THE GRENADINES,SAINT VINCENT AND THE GRENADINES,Americas,XCD,13700,103699,150.0,690.0,0.30254855974502376
PARAGUAY,PARAGUAY,Americas,PYG,13700,6109644,157048.0,39.0,1.0520291363163372
GRENADA,GRENADA,Americas,XCD,13700,126184,133.0,950.0,0.6057938461538461
SRI LANKA,SRI LANKA,Asia,LKR,13400,21893579,25330.0,870.0,0.7160527612062831
SOUTH AFRICA,SOUTH AFRICA,Africa,ZAR,13300,60414495,471445.0,130.0,1.2488311737877602
LEBANON,LEBANON,Asia,LBP,13000,5353930,4036.0,1330.0,0.5837312316631191
SAINT LUCIA,SAINT LUCIA,Americas,XCD,13000,180251,238.0,760.0,1.0522632441959918
UKRAINE,UKRAINE,Europe,UAH,12900,36744634,233000.0,160.0,0.9682684882684882
PERU,PERU,Americas,PEN,12500,34352719,496225.0,70.0,1.1277405265223253
IRAN,IRAN,Asia,IRR,12400,89172767,629674.0,140.0,1.3273988741981935
CUBA,CUBA,Americas,CUP,12300,11194449,42426.0,260.0,0.23779385171790235
ANGUILLA,UNITED KINGDOM,Americas,XCD,12200,15900,35.0,450.0,0.04242749731471536
NAURU,NAURU,Oceania,AUD,11900,12780,8.1,1600.0,1.9851380042462845
KOSOVO,KOSOVO,Europe,EUR,11900,1663595,4210.0,400.0,0.5120757180156658
INDONESIA,INDONESIA,Asia,IDR,11900,277534123,737815.0,380.0,1.1339136026456607
MONGOLIA,MONGOLIA,Asia,MNT,11700,3447157,603909.0,5.2,0.9669403630077787
EGYPT,EGYPT,Africa,EGP,11600,112716599,387000.0,290.0,0.6203702719084635
AMERICAN SAMOA,UNITED STATES,Oceania,USD,11200,43915,77.0,570.0,0.6959349593495935
ALGERIA,ALGERIA,Africa,DZD,11000,45606481,919595.0,49.0,0.9425567438292496
BHUTAN,BHUTAN,Asia,BTN,10900,787425,14824.0,54.0,0.7221051606621227
DOMINICA,DOMINICA,Americas,XCD,10900,73040,290.0,250.0,0.34754635761589403
ECUADOR,ECUADOR,Americas,USD,10700,18190484,99311.0,180.0,1.026534112787482
VIETNAM,VIETNAM,Asia,VND,10600,98858950,127930.0,770.0,1.0058073314971554
FIJI,FIJI,Oceania,FJD,10400,936376,7055.0,130.0,0.49957337883959047
TUNISIA,TUNISIA,Africa,TND,10400,12458223,63170.0,200.0,0.8135069430137212
JAMAICA,JAMAICA,Americas,JMD,9600,2825544,4244.0,670.0,0.5914486107364446
JORDAN,JORDAN,Asia,JOD,9200,11337053,34486.0,330.0,0.5926812585499316
EL SALVADOR,EL SALVADOR,Americas,USD,9100,6364943,8124.0,780.0,0.5389742287672972
NAMIBIA,NAMIBIA,Africa,NAD,9100,2604172,318623.0,7.8,0.653179190751445
IRAQ,IRAQ,Asia,IQD,9000,45504560,167975.0,270.0,1.5433963752539097
GUATEMALA,GUATEMALA,Americas,GTQ,8900,18092026,42042.0,430.0,0.5592960420622171
ESWATINI,ESWATINI,Africa,SZL,8900,1210822,6704.0,180.0,0.9811320754716981
BELIZE,BELIZE,Americas,BZD,8800,410825,8867.0,47.0,0.8338658146964856
PHILIPPINES,PHILIPPINES,Asia,PHP,8100,117337368,120000.0,1010.0,0.693948208808929
MOROCCO,MOROCCO,Africa,MAD,8100,37840044,172410.0,220.0,0.7840191849717721
BOLIVIA,BOLIVIA,Americas,BOB,8100,12388571,424164.0,28.0,1.059264746735809
LAOS,LAOS,Asia,LAK,7800,7633779,91400.0,83.0,1.1981001991726674
"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",UNITED KINGDOM,Africa,SHP,7800,5314,47.0,110.0,0.9254749147588894
VENEZUELA,VENEZUELA,Americas,VEF,7704,28838499,358960.0,80.0,4.524793836805555
UZBEKISTAN,UZBEKISTAN,Asia,UZS,7700,35163944,173348.0,200.0,0.5904443004248577
INDIA,INDIA,Asia,INR,6600,1428627663,1269219.0,1130.0,0.8967549318871764
CAPE VERDE,CAPE VERDE,Africa,CVE,6100,598682,1557.0,380.0,0.4117484333034915
TONGA,TONGA,Oceania,TOP,6100,107773,288.0,370.0,0.20563577491905136
TOKELAU,NEW ZEALAND,Oceania,NZD,6004,1893,4.6,410.0,0.006521992411693489
MARSHALL ISLANDS,MARSHALL ISLANDS,Oceania,USD,6000,41996,70.0,600.0,0.1280373831775701
BANGLADESH,BANGLADESH,Asia,BDT,5900,172954319,57320.0,3020.0,0.5789479854166911
ANGOLA,ANGOLA,Africa,AOA,5900,36684203,481400.0,75.0,1.786946139559565
NIUE,NEW ZEALAND,Oceania,NZD,5800,1935,100.0,18.0,0.12968036529680366
NICARAGUA,NICARAGUA,Americas,NIO,5600,7046311,50337.0,140.0,0.7966530219118709
HONDURAS,HONDURAS,Americas,HNL,5600,10593798,43433.0,240.0,0.5478440841669541
PALESTINE,PALESTINE,Asia,ILS,5600,5371230,2320.0,2310.0,0.20893371757925072
SAMOA,SAMOA,Oceania,WST,5500,225681,1097.0,200.0,0.22737557876426417
GHANA,GHANA,Africa,GHS,5400,34121985,92100.0,370.0,0.9204374783378904
IVORY COAST,IVORY COAST,Africa,XOF,5300,28873034,124503.0,230.0,1.0451816745655609
MAURITANIA,MAURITANIA,Africa,MRU,5300,4862989,398000.0,13.0,0.7374768089053804
PAKISTAN,PAKISTAN,Asia,PKR,5200,240485658,307374.0,780.0,0.4655723112367787
EAST TIMOR,EAST TIMOR,Asia,USD,5000,1360596,5760.0,240.0,1.5200262639527249
NIGERIA,NIGERIA,Africa,NGN,4900,223804632,356669.0,630.0,0.7692982588833255
DJIBOUTI,DJIBOUTI,Africa,DJF,4900,1136455,9000.0,130.0,0.9410906438081342
TUVALU,TUVALU,Oceania,AUD,4900,11396,10.0,1100.0,0.052728231777599784
KYRGYZSTAN,KYRGYZSTAN,Asia,KGS,4800,6735348,77201.0,88.0,0.5659739820915696
KENYA,KENYA,Africa,KES,4700,55100587,228556.0,240.0,0.5411156362970759
MYANMAR,MYANMAR,Asia,MMK,4400,54577997,261228.0,210.0,0.8831168831168831
CAMBODIA,CAMBODIA,Asia,KHR,4400,16944826,69900.0,240.0,0.6130368565336582
SAO TOME AND PRINCIPE,SAO TOME AND PRINCIPE,Africa,STN,4100,231856,372.0,620.0,0.37413805960873997
TAJIKISTAN,TAJIKISTAN,Asia,TJS,3900,10143543,54600.0,190.0,0.5075152653828088
NEPAL,NEPAL,Asia,NPR,3800,30896590,56827.0,540.0,0.14829635732360383
WALLIS AND FUTUNA,FRANCE,Oceania,XPF,3800,11502,55.0,210.0,0.0007757070459375511
CAMEROON,CAMEROON,Africa,XAF,3700,28647293,183650.0,160.0,0.8251910933865071
PAPUA NEW GUINEA,PAPUA NEW GUINEA,Oceania,PGK,3700,10329931,178700.0,57.0,2.588235294117647
SUDAN,SUDAN,Africa,SDG,3700,48109006,681489.0,70.0,0.6044135676338374
SENEGAL,SENEGAL,Africa,XOF,3500,17763163,75951.0,230.0,0.5900669642857143
BENIN,BENIN,Africa,XOF,3300,13712828,44310.0,310.0,0.8893962455606291
FEDERATED STATES OF MICRONESIA,FEDERATED STATES OF MICRONESIA,Oceania,USD,3300,115224,271.0,420.0,1.4206349206349207
REPUBLIC OF THE CONGO,REPUBLIC OF THE CONGO,Africa,XAF,3200,6106869,132000.0,47.0,1.4242146996035376
COMOROS,COMOROS,Africa,KMF,3200,852075,863.0,990.0,0.34293611793611795
ZAMBIA,ZAMBIA,Africa,ZMW,3200,20569738,290585.0,70.0,1.521360862225685
HAITI,HAITI,Americas,HTG,2900,11724764,10710.0,1100.0,0.23764841057066258
SYRIA,SYRIA,Asia,SYP,2900,23227014,71500.0,320.0,0.2946329033285555
VANUATU,VANUATU,Oceania,VUV,2800,334506,4706.0,70.0,0.17909361147747943
TANZANIA,TANZANIA,Africa,TZS,2600,67438106,365756.0,180.0,0.9318157063500708
GUINEA,GUINEA,Africa,GNF,2600,14190612,94918.0,150.0,1.9178031010648235
YEMEN,YEMEN,Asia,YER,2500,34449825,203850.0,170.0,0.09426329982838931
SOLOMON ISLANDS,SOLOMON ISLANDS,Oceania,SBD,2400,740425,11157.0,67.0,0.6677703160817486
ETHIOPIA,ETHIOPIA,Africa,ETB,2300,126527060,426400.0,300.0,0.45524713552902824
LESOTHO,LESOTHO,Africa,LSL,2300,2330318,11720.0,200.0,0.48626744709590275
BURKINA FASO,BURKINA FASO,Africa,XOF,2200,23251485,104543.0,220.0,1.1207365557648044
UGANDA,UGANDA,Africa,UGX,2200,48582334,93260.0,520.0,0.5770200840728631
RWANDA,RWANDA,Africa,RWF,2200,14094683,10169.0,1390.0,0.5471991701244814
TOGO,TOGO,Africa,XOF,2100,9053799,21925.0,410.0,0.7208036835496023
MALI,MALI,Africa,XOF,2100,23293699,478841.0,49.0,0.8196876478939896
ZIMBABWE,ZIMBABWE,Africa,ZWL,2100,16665409,150872.0,110.0,0.9588267443978867
GAMBIA,GAMBIA,Africa,GMD,2100,2773168,4361.0,640.0,0.18656749311294765
KIRIBATI,KIRIBATI,Oceania,AUD,1900,133515,280.0,480.0,0.05324184093789607
GUINEA-BISSAU,GUINEA-BISSAU,Africa,XOF,1800,2150842,13948.0,160.0,0.5296947608200455
NORTH KOREA,NORTH KOREA,Asia,KPW,1700,26160822,46540.0,560.0,0.09568965517241379
SOUTH SUDAN,SOUTH SUDAN,Africa,SSP,1600,11088796,254380.0,44.0,1.1523408471637355
SIERRA LEONE,SIERRA LEONE,Africa,SLE,1600,8791092,27900.0,320.0,0.49433779971791253
ERITREA,ERITREA,Africa,ERN,1600,3748902,46774.0,80.0,0.5539485359361136
AFGHANISTAN,AFGHANISTAN,Asia,AFN,1500,42239854,252072.0,170.0,0.21137047114420737
MALAWI,MALAWI,Africa,MWK,1500,20931751,36507.0,570.0,0.42936906756002235
MADAGASCAR,MADAGASCAR,Africa,MGA,1500,30325732,226658.0,130.0,0.7007130872483222
CHAD,CHAD,Africa,XAF,1400,18278568,496000.0,36.0,1.1407407407407408
LIBERIA,LIBERIA,Africa,LRD,1400,5418377,43000.0,130.0,0.44534807073954985
NIGER,NIGER,Africa,XOF,1200,27202843,489000.0,54.0,0.37775268210050816
MOZAMBIQUE,MOZAMBIQUE,Africa,MZN,1200,33897354,308640.0,110.0,0.6162432640492687
SOMALIA,SOMALIA,Africa,SOS,1100,18143379,246201.0,73.0,0.008673091178650852
DEMOCRATIC REPUBLIC OF THE CONGO,DEMOCRATIC REPUBLIC OF THE CONGO,Africa,CDF,1100,102262809,905570.0,110.0,1.0072545397197314
CENTRAL AFRICAN REPUBLIC,CENTRAL AFRICAN REPUBLIC,Africa,XAF,800,5742316,240535.0,23.0,0.2892393792928008
BURUNDI,BURUNDI,Africa,BIF,700,13238559,10747.0,1230.0,0.31493084014695777
